image_name,dilution,number_of_lines
bsb00095929.0011.jpeg,40,0
bsb00095929.0011.jpeg,45,0
bsb00095929.0011.jpeg,50,0
bsb00095929.0011.jpeg,55,0
bsb00095929.0011.jpeg,60,0
bsb00095929.0011.jpeg,65,0
bsb00095929.0011.jpeg,70,0
bsb00095929.0011.jpeg,75,0
bsb00095929.0011.jpeg,80,0
bsb00095929.0011.jpeg,85,0
bsb00095929.0011.jpeg,90,0
bsb00095929.0011.jpeg,95,0
bsb00095929.0011.jpeg,100,0
bsb00095929.0011.jpeg,105,0
bsb00095929.0011.jpeg,110,0
bsb00095929.0011.jpeg,115,0
bsb00095929.0011.jpeg,120,0
bsb00046500.0011.jpeg,40,0
bsb00046500.0011.jpeg,45,0
bsb00046500.0011.jpeg,50,0
bsb00046500.0011.jpeg,55,0
bsb00046500.0011.jpeg,60,0
bsb00046500.0011.jpeg,65,0
bsb00046500.0011.jpeg,70,0
bsb00046500.0011.jpeg,75,0
bsb00046500.0011.jpeg,80,0
bsb00046500.0011.jpeg,85,0
bsb00046500.0011.jpeg,90,0
bsb00046500.0011.jpeg,95,0
bsb00046500.0011.jpeg,100,0
bsb00046500.0011.jpeg,105,0
bsb00046500.0011.jpeg,110,0
bsb00046500.0011.jpeg,115,0
bsb00046500.0011.jpeg,120,0
bsb00054504.0016.jpeg,40,19
bsb00054504.0016.jpeg,45,20
bsb00054504.0016.jpeg,50,21
bsb00054504.0016.jpeg,55,21
bsb00054504.0016.jpeg,60,21
bsb00054504.0016.jpeg,65,20
bsb00054504.0016.jpeg,70,17
bsb00054504.0016.jpeg,75,17
bsb00054504.0016.jpeg,80,16
bsb00054504.0016.jpeg,85,15
bsb00054504.0016.jpeg,90,15
bsb00054504.0016.jpeg,95,14
bsb00054504.0016.jpeg,100,14
bsb00054504.0016.jpeg,105,13
bsb00054504.0016.jpeg,110,13
bsb00054504.0016.jpeg,115,12
bsb00054504.0016.jpeg,120,11
bsb00050531.0011.jpeg,40,21
bsb00050531.0011.jpeg,45,21
bsb00050531.0011.jpeg,50,22
bsb00050531.0011.jpeg,55,22
bsb00050531.0011.jpeg,60,21
bsb00050531.0011.jpeg,65,21
bsb00050531.0011.jpeg,70,20
bsb00050531.0011.jpeg,75,20
